abbreviated form=縮短的版本
superficial examination=粗略的檢查
superficial resemblance=表面上的相似性
superfluous decorator=多餘的裝飾品
superlative performance=優異的表現
surly teenager=脾氣暴躁的青少年
susceptible young children=易受影響的幼童
sweeping change=徹底的改變
sweeping conclusion=概括的結論
sycophantic journalist=阿諛奉承的新聞記者
synthetic material=合成的材料
tacit agreement=默許，默示的許可
taciturn introvert=沉默寡言的內向者
tactful expression=圓滑的表達方式
tangential question=不相關的問題
taxing work=費勁的工作
tedious lecture=乏味冗長的講課
tenable argument=站得住腳的論點
tenacious negotiator=態度堅決的談判者
tendentious speech=有偏見的演說
tentative measure=暫定的措施
tenuous connection=微弱的關聯
tenuous relationship=脆弱的關係
tepid response=冷淡的反應
terse reply=簡短的回覆
timorous child=膽怯的小孩
torpid mind=遲鈍的頭腦
tractable problem=易處理的問題
tranquil environment=寧靜的環境
transient effect=短暫的效應
transitory life=短暫的生命
transparent information=透明的資訊
treacherous act=背叛的行徑
trenchant critic=尖銳的批評者
trifling thing=微不足道的事物
trite remark=了無新意的言論
trivial matters=瑣碎的事物
truculent kid=逞凶鬥狠的小孩
truculent review=尖刻的評論
tumultuous years=動盪的年代
turbulent career=動盪的職涯
turgid prose=浮誇難懂的散文
ubiquitous phenomenon=隨處可見的現象
unambiguous stance=堅定明確的立場
unanimous choice=一致的選擇
unassuming personality=謙遜的個性
unbounded energy=無窮的精力
uncanny coincidence=神秘的巧合
uncharted territory=未知的領域
unexampled advantage=空前的優勢
unfeigned feelings=真誠無偽裝的情感
univocal answer=明確的回答
unkempt essay=凌亂的文章
unmistakable evidence=清楚的證據
unparalleled strength=無可匹敵的優勢
unqualified support=全心全意的支持
untapped potential=尚未開發的潛力
untimely death=早逝，過早的死亡
unwarranted interference=無理的干涉
upright man=誠實正直的人
urbane dialogue=謙和有禮的談話
utilitarian touchstone=實用主義的標準
vacant expression=空洞的神情
vacuous talk=空洞的演說
valiant effort=英勇的行徑
valid reason=正當的理由
vapid conversation=乏味的對話
vehement opposition=強烈的反對
venal politicians=腐敗的政客
verbose explanation=冗長的解釋
versatile performer=多才多藝的表演者
vexing question=令人苦惱的問題
viable method=可行的方式
vigorous debate=激烈的辯論
vigorous teenager=精力充沛的青少年
visceral hatred=發自內心的仇很
vitriolic remark=刻薄的言詞
vivacious personality=活潑的個性
vociferous opponent=喧鬧的反對者
volatile market=不穩定的市場
whimsical personality=善變的個性
willful child=固執任性的孩子
wistful look=若有所失的神情
witty remark=詼諧機智的發言
wrongheaded idea=頑固的念頭
